time,open,high,low,close,volume,close_time,quote_volume,trade_number,taker_buy_volume,taker_quote_volume,na
1678953600000,1655.56000000,1669.99000000,1639.22000000,1660.36000000,114932.54750000,1678967999999,190333396.39263000,169835,57563.50460000,95335883.17485200,0
1678968000000,1660.37000000,1666.73000000,1635.96000000,1663.06000000,129192.79690000,1678982399999,213684050.54788200,202561,67239.95980000,111220000.15224200,0
1678982400000,1663.06000000,1691.42000000,1652.88000000,1679.64000000,113369.52090000,1678996799999,188775311.60042800,169125,59457.14630000,99034266.10995000,0
1678996800000,1679.64000000,1681.78000000,1652.53000000,1673.73000000,76922.01860000,1679011199999,128418596.39913700,128882,38497.64770000,64275330.14644300,0
1679011200000,1673.73000000,1725.00000000,1662.65000000,1708.62000000,166034.43070000,1679025599999,282027776.89490200,204709,84301.06300000,143136876.52437400,0
1679025600000,1708.62000000,1730.99000000,1696.37000000,1715.59000000,109599.36770000,1679039999999,187613926.47499800,159807,57726.00900000,98827229.07349700,0
1679040000000,1715.59000000,1763.97000000,1710.44000000,1761.12000000,187901.26510000,1679054399999,325399472.73604500,249153,99699.28310000,172699685.01878400,0
1679054400000,1761.13000000,1762.10000000,1703.02000000,1717.41000000,165755.32640000,1679068799999,286625607.09891100,236622,80677.07420000,139525253.69772600,0
1679068800000,1717.41000000,1744.36000000,1710.00000000,1744.15000000,111856.87180000,1679083199999,193155553.25297600,164603,58416.26070000,100880244.73858000,0
1679083200000,1744.15000000,1800.00000000,1732.25000000,1789.27000000,166381.02080000,1679097599999,294442859.99507300,278161,95435.80480000,168947607.51677300,0
1679097600000,1789.26000000,1831.34000000,1767.13000000,1810.57000000,188400.97920000,1679111999999,340730923.57745200,265959,98115.23650000,177384243.27088100,0
1679112000000,1810.58000000,1821.40000000,1801.53000000,1814.12000000,67438.75130000,1679126399999,122159207.52009300,114376,34125.16940000,61817424.46681400,0
1679126400000,1814.12000000,1818.00000000,1790.92000000,1813.15000000,77563.96770000,1679140799999,140225714.60845100,125643,37782.97550000,68301671.55388900,0
1679140800000,1813.16000000,1841.00000000,1773.57000000,1786.00000000,143202.30710000,1679155199999,259004068.10608600,217556,68823.73610000,124520431.34785300,0
1679155200000,1786.00000000,1802.28000000,1747.47000000,1790.23000000,161730.62020000,1679169599999,288060929.02976400,251070,79046.40730000,140815768.98719600,0
1679169600000,1790.23000000,1801.17000000,1751.00000000,1758.84000000,73278.10550000,1679183999999,130008516.58270300,141286,35238.44230000,62533486.57593200,0
1679184000000,1758.84000000,1786.16000000,1757.92000000,1782.52000000,56059.86070000,1679198399999,99547563.98220200,106059,29140.35330000,51747338.25073800,0
1679198400000,1782.51000000,1786.65000000,1761.60000000,1774.80000000,47469.71420000,1679212799999,84243655.31481900,96276,22447.01450000,39835029.76447600,0
